market_id,half_spread_prob_dw_strict,half_spread_prob_dw_onchain,n_trades_strict,n_trades_onchain,dollar_volume_onchain,flip
0x561cd8d035bac38ed04e23d7882a126da38d7ead9d6679f722ad62c0c9d54ad2,0.002592441689448225,-0.00004521970716362789,1716,18811,39950955.20309455,1
0x43c7e8f73e867ebc035edf002617f67cf96b90c85eccac18090e553bfe7a8411,0.000635018575647363,-0.00003056497207682332,1038,4951,4560858.005746026,1
0x5bbabd359667d5bbdb9ee690bb959c9aa4cf4b08b2ae6592118a59753f622d78,0.0015810535299045328,0.00008163645396561956,731,3168,4191520.11093701,0
0x726a9be9bb0a797e69e1e741cd29e5694ecf8cbbb6722419c392c9a78e4c766f,0.05199834514560544,0.11293543020865224,44,12507,2770754.8885730635,0
0x306d10d4a4d51b41910dbc779ca00908bd917c131541c5c42bbbc736258d2d56,0.011092120070746106,-0.0010022022047281092,2625,13549,1912749.5228029871,1
0x9352c559e9648ab4cab236087b64ca85c5b7123a4c7d9d7d4efde4a39c18056f,0.006309693482200942,-0.0003994010359759789,37355,10312,1659888.889217985,1
0x24fb7c2d95c93a68018e6c4a90d88043bb67d32fd1454924cef8ebdd550228f3,0.010037884839394108,-0.001907575952854677,5993,6331,998118.939690993,1
0xe4b9a52d2bb336ff9d84799b70e72e8e5f4507df881af60f3f4daeb9f541a80e,0.017200275942234784,-0.0011908352354377618,1038,6641,798990.2787559981,1
0x61ce3773237a948584e422de72265f937034af418a8b703e3a860ea62e59ff36,0.003277154280284194,-0.0004170070546472712,1716,11720,548233.905363993,1
0xbb4d51e6364066d92eb6f9b8413dd7193de70966736044463b205834805a1f3b,0.007488108691715367,-0.00009435143837355288,4174,8141,546887.341116994,1
0xe443dab97ad8b7f58558cc7a6a3932d156031e962a451e0461e9a4578d78fe84,0.005884059451957196,0.04089399553917098,1058,3203,512343.9172509969,0
0x0b4cc3b739e1dfe5d73274740e7308b6fb389c5af040c3a174923d928d134bee,0.0005000005098849767,0.00018280249269141282,5593,14381,251139.17136700219,0
0x09e8f0db05570a5048fdccdae58a52c608aa6cf640ced2190dcbeb52ce52f491,0.003991288614108952,0.0020862617579672114,2158,9229,218013.18268199958,0
0x24026080b17f4e88729eab0ac2929ee37c13bfbb4a159179ec63deb4a242d9c9,0.005393031439378277,-0.01614529365204403,3527,3966,198314.28448100007,1
0x747dc809fb79e1b05be09c42d6179459a58de2ef3e40f02484a4e1260f741f75,0.005442942910256732,0.0001927090886635475,3462,2392,180368.78670399863,0
0x352559d5f5bdcad9f6dabdf84af660639ca144aef053166c923033d2345d884a,0.010811265627984954,-0.0002516425996905734,727,5730,123201.99768800248,1
0xffff6c984d7adab19e799c46d1a478d5ab6483479b41f9639d04617f07a8bab0,0.02298264956365389,0.013345894975297814,3999,1762,90096.6542980002,0
0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,0.004172505046525165,-0.00005599844352495575,755,1350,81426.07619000025,1
0x1d54eb5eac2cee8f595f3097c65da7d07f8ab5dee63d7c0c6883eb70e1e9af30,0.0015811648564515645,-0.0006581196287419802,873,3329,39933.63708500001,1
0xd25b2fc3a916b317d71b398c5d0f81ad33fe1da6b56d6c9f717332d31584504e,0.0018948430396705524,-0.001730377539042666,711,2109,26975.76994200001,1
0xcccb7e7613a087c132b69cbf3a02bece3fdcb824c1da54ae79acc8d4a562d902,0.0003076127287266148,-0.000027938379474812348,627,2695,23030.52733499997,1
0xfc9ee9c25abd5b966088767214c22dcf3ad1c72548e9a1dbef9d4328c170e5b5,0.0011034944760367198,-0.0006122024966064088,355,1667,20859.563563999964,1
0x2701e5a5b751418c5c5bf0faaafdea60ac9fc893eb75fd88e902cd97458d375b,0.0006458067605987528,-0.0005392534272663102,334,1589,7685.520618000005,1
0xc4eea371cd2a7677f60501f4f39d977e77ba28ceeea94fa4541db97940a87ab9,0.15837338915116037,0.42333620871392996,72,71,1320.6690279999996,0
