market_id,kyle_lambda_logodds_strict,kyle_lambda_logodds_onchain,n_trades_strict,n_trades_onchain,dollar_volume_onchain,flip
0x561cd8d035bac38ed04e23d7882a126da38d7ead9d6679f722ad62c0c9d54ad2,-2.3517145124965505e-7,-1.7316468729815354e-8,,,39950955.20309455,0
0x43c7e8f73e867ebc035edf002617f67cf96b90c85eccac18090e553bfe7a8411,4.210831265673747e-6,7.493184467117027e-7,,,4560858.005746026,0
0x5bbabd359667d5bbdb9ee690bb959c9aa4cf4b08b2ae6592118a59753f622d78,1.4331621369783378e-6,-1.3872184529599368e-6,,,4191520.11093701,1
0x726a9be9bb0a797e69e1e741cd29e5694ecf8cbbb6722419c392c9a78e4c766f,0.0004982307929249333,8.176902986025988e-9,,,2770754.8885730635,0
0x306d10d4a4d51b41910dbc779ca00908bd917c131541c5c42bbbc736258d2d56,2.0866539659737947e-7,-1.6626958598921642e-7,,,1912749.5228029871,1
0x9352c559e9648ab4cab236087b64ca85c5b7123a4c7d9d7d4efde4a39c18056f,2.890572823746647e-8,-1.4676646774884874e-10,,,1659888.889217985,1
0x24fb7c2d95c93a68018e6c4a90d88043bb67d32fd1454924cef8ebdd550228f3,2.046055146955737e-6,1.4773653419786932e-6,,,998118.939690993,0
0xe4b9a52d2bb336ff9d84799b70e72e8e5f4507df881af60f3f4daeb9f541a80e,3.055210151580421e-7,4.2646842607084503e-7,,,798990.2787559981,0
0x4bdaa5093741c4c44a5b84b5233de4dba4339e761a89cf2128d0e1c40c7df023,0.0013131788965650255,-8.193562601157576e-9,,,669550.7610749957,1
0x61ce3773237a948584e422de72265f937034af418a8b703e3a860ea62e59ff36,1.757925762642004e-8,-1.0639719161052196e-7,,,548233.905363993,1
0xbb4d51e6364066d92eb6f9b8413dd7193de70966736044463b205834805a1f3b,1.2764530599954674e-8,-4.9458020137528304e-8,,,546887.341116994,1
0xe443dab97ad8b7f58558cc7a6a3932d156031e962a451e0461e9a4578d78fe84,5.541881901999654e-9,-1.9532120766365253e-8,,,512343.9172509969,1
0x0b4cc3b739e1dfe5d73274740e7308b6fb389c5af040c3a174923d928d134bee,1.0433735073780184e-10,9.742335728165099e-12,,,251139.17136700219,0
0x09e8f0db05570a5048fdccdae58a52c608aa6cf640ced2190dcbeb52ce52f491,2.2238461825880894e-7,-6.957355246012931e-8,,,218013.18268199958,1
0x24026080b17f4e88729eab0ac2929ee37c13bfbb4a159179ec63deb4a242d9c9,-5.999584068095017e-8,-2.313625205597237e-7,,,198314.28448100007,0
0x747dc809fb79e1b05be09c42d6179459a58de2ef3e40f02484a4e1260f741f75,1.77423835737075e-8,3.840431633511575e-9,,,180368.78670399863,0
0x352559d5f5bdcad9f6dabdf84af660639ca144aef053166c923033d2345d884a,3.6610930584225767e-6,-3.166983776643131e-7,,,123201.99768800248,1
0xffff6c984d7adab19e799c46d1a478d5ab6483479b41f9639d04617f07a8bab0,-2.816001790999292e-6,6.971280418842689e-6,,,90096.6542980002,1
0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,9.329589241043657e-8,-2.1776048572889946e-7,,,81426.07619000025,1
0x1d54eb5eac2cee8f595f3097c65da7d07f8ab5dee63d7c0c6883eb70e1e9af30,2.554978638158656e-7,-3.11350762286551e-7,,,39933.63708500001,1
0xd25b2fc3a916b317d71b398c5d0f81ad33fe1da6b56d6c9f717332d31584504e,3.173237381914935e-7,-5.619326568968077e-7,,,26975.76994200001,1
0xcccb7e7613a087c132b69cbf3a02bece3fdcb824c1da54ae79acc8d4a562d902,-3.103706089149298e-7,-8.258622954473467e-7,,,23030.52733499997,0
0xfc9ee9c25abd5b966088767214c22dcf3ad1c72548e9a1dbef9d4328c170e5b5,-1.3458000198253267e-6,-3.186834546849343e-7,,,20859.563563999964,0
0x2701e5a5b751418c5c5bf0faaafdea60ac9fc893eb75fd88e902cd97458d375b,-4.436259403198613e-6,7.163445379261468e-7,,,7685.520618000005,1
0xc4eea371cd2a7677f60501f4f39d977e77ba28ceeea94fa4541db97940a87ab9,-0.0003292263157202327,5.378987511896873e-6,,,1320.6690279999996,1
