measure,n,k_flip,p_unweighted,ci_lo_unw,ci_hi_unw,p_volweighted,ci_lo_vw,ci_hi_vw,subset_dollar_volume,subset_share_of_top100
effective_spread,24,16,0.6666666666666666,0.4670631683813174,0.8202780967270225,0.8624174696494984,0.3237401649082583,0.9883577066552769,59713666.8435326,0.9806569541861077
kyle_lambda,25,15,0.6,0.40739457358967,0.7659669762225203,0.17603944236460903,0.03740309402645774,0.8074643781130023,60383217.6046076,0.9916527553943852
